mode,roster_size,repetition,surface_ms,keyed_ms,contract_ms,incremental_ms,incremental_over_keyed_ms,contract_to_surface_ratio,contract_to_keyed_ratio,incremental_share_of_contract,incremental_over_keyed_share_of_contract
synchronize,50,191,0.0411,0.0385,1.3369,1.2958,1.2984,32.527981,34.724675,0.969257,0.971202
synchronize,50,192,0.036,0.0208,1.1588,1.1228,1.138,32.188889,55.711538,0.968933,0.98205
synchronize,50,193,0.023,0.0204,1.0219,0.9989,1.0015,44.430435,50.093137,0.977493,0.980037
synchronize,50,194,0.0416,0.0217,1.1023,1.0607,1.0806,26.497596,50.797235,0.962261,0.980314
synchronize,50,195,0.0227,0.0209,0.9914,0.9687,0.9705,43.674009,47.435407,0.977103,0.978919
synchronize,50,196,0.0203,0.02,1.1975,1.1772,1.1775,58.990148,59.875,0.983048,0.983299
synchronize,50,197,0.0221,0.036,1.0269,1.0048,0.9909,46.466063,28.525,0.978479,0.964943
synchronize,50,198,0.037,0.0479,0.9344,0.8974,0.8865,25.254054,19.507307,0.960402,0.948737
synchronize,50,199,0.0206,0.0251,1.2189,1.1983,1.1938,59.169903,48.561753,0.9831,0.979408
synchronize,50,200,0.0389,0.0351,1.1631,1.1242,1.128,29.899743,33.136752,0.966555,0.969822
synchronize,200,1,0.0825,0.0746,3.8032,3.7207,3.7286,46.099394,50.981233,0.978308,0.980385
synchronize,200,2,0.0836,0.0794,3.2081,3.1245,3.1287,38.374402,40.404282,0.973941,0.97525
synchronize,200,3,0.1089,0.0826,3.16,3.0511,3.0774,29.017447,38.256659,0.965538,0.973861
synchronize,200,4,0.0801,0.0752,4.9471,4.867,4.8719,61.761548,65.785904,0.983809,0.984799
synchronize,200,5,0.0898,0.0792,4.6381,4.5483,4.5589,51.64922,58.561869,0.980639,0.982924
synchronize,200,6,0.1516,0.1387,4.453,4.3014,4.3143,29.373351,32.105263,0.965956,0.968852
synchronize,200,7,0.1457,0.1378,4.382,4.2363,4.2442,30.075498,31.79971,0.96675,0.968553
synchronize,200,8,0.1506,0.142,4.5633,4.4127,4.4213,30.300797,32.135915,0.966998,0.968882
synchronize,200,9,0.0848,0.0785,3.5409,3.4561,3.4624,41.755896,45.107006,0.976051,0.97783
synchronize,200,10,0.0961,0.0873,3.442,3.3459,3.3547,35.816857,39.427262,0.97208,0.974637
synchronize,200,11,0.1664,0.0816,4.2329,4.0665,4.1513,25.438101,51.873775,0.960689,0.980722
synchronize,200,12,0.1152,0.1216,6.384,6.2688,6.2624,55.416667,52.5,0.981955,0.980952
synchronize,200,13,0.161,0.1448,4.562,4.401,4.4172,28.335404,31.505525,0.964708,0.96826
synchronize,200,14,0.0848,0.1355,3.697,3.6122,3.5615,43.596698,27.284133,0.977062,0.963349
synchronize,200,15,0.0892,0.0814,3.3231,3.2339,3.2417,37.254484,40.824324,0.973158,0.975505
synchronize,200,16,0.0875,0.078,3.5946,3.5071,3.5166,41.081143,46.084615,0.975658,0.978301
synchronize,200,17,0.1503,0.1465,5.1293,4.979,4.9828,34.127079,35.012287,0.970698,0.971439
synchronize,200,18,0.0879,0.0779,4.7458,4.6579,4.6679,53.990899,60.921694,0.981478,0.983585
synchronize,200,19,0.0957,0.076,3.5038,3.4081,3.4278,36.61233,46.102632,0.972687,0.978309
synchronize,200,20,0.0831,0.0782,4.2898,4.2067,4.2116,51.622142,54.856777,0.980628,0.981771
synchronize,200,21,0.0868,0.0779,4.4255,4.3387,4.3476,50.985023,56.810013,0.980386,0.982397
synchronize,200,22,0.0795,0.0878,3.5985,3.519,3.5107,45.264151,40.985194,0.977907,0.975601
synchronize,200,23,0.3815,0.0909,5.1398,4.7583,5.0489,13.472608,56.543454,0.925775,0.982314
synchronize,200,24,0.1592,0.1458,5.3308,5.1716,5.185,33.484925,36.562414,0.970136,0.97265
synchronize,200,25,0.1725,0.1521,4.9571,4.7846,4.805,28.736812,32.591059,0.965201,0.969317
synchronize,200,26,0.3794,0.181,5.4592,5.0798,5.2782,14.389035,30.161326,0.930503,0.966845
synchronize,200,27,0.2627,0.0755,4.4217,4.159,4.3462,16.831747,58.565563,0.940588,0.982925
synchronize,200,28,0.0812,0.0692,2.9525,2.8713,2.8833,36.360837,42.666185,0.972498,0.976562
synchronize,200,29,0.085,0.1297,3.2125,3.1275,3.0828,37.794118,24.768697,0.973541,0.959626
synchronize,200,30,0.0834,0.0708,3.7336,3.6502,3.6628,44.767386,52.734463,0.977662,0.981037
synchronize,200,31,0.0835,0.0709,4.8177,4.7342,4.7468,57.697006,67.950635,0.982668,0.985283
synchronize,200,32,0.1491,0.3472,3.9917,3.8426,3.6445,26.771965,11.496832,0.962647,0.91302
synchronize,200,33,0.1542,0.1489,4.2436,4.0894,4.0947,27.520104,28.499664,0.963663,0.964912
synchronize,200,34,0.153,0.1339,4.3354,4.1824,4.2015,28.335948,32.377894,0.964709,0.969115
synchronize,200,35,0.1173,0.0821,2.891,2.7737,2.8089,24.646206,35.213155,0.959426,0.971602
synchronize,200,36,0.0831,0.0778,3.1408,3.0577,3.063,37.795427,40.37018,0.973542,0.975229
synchronize,200,37,0.0788,0.0688,3.1561,3.0773,3.0873,40.05203,45.873547,0.975032,0.978201
synchronize,200,38,0.0825,0.0778,3.4771,3.3946,3.3993,42.146667,44.692802,0.976273,0.977625
synchronize,200,39,0.084,0.094,3.3347,3.2507,3.2407,39.69881,35.475532,0.97481,0.971812
synchronize,200,40,0.1093,0.0708,3.0806,2.9713,3.0098,28.184812,43.511299,0.96452,0.977017
synchronize,200,41,0.0834,0.0887,3.0089,2.9255,2.9202,36.077938,33.92221,0.972282,0.970521
