scenario,variant,roster_size,repetition,outcome_success,state_preservation_rate,final_count,elapsed_ms
stable-identity,without-stable-id,50,40,false,0,50,0.12269999999998049
state-continuity,replace-all,50,40,false,0,50,0.0013999999999896318
state-continuity,state-preserving-merge,50,40,true,1,50,0.0911000000000115
message-order,sequence-guard,50,40,true,,50,0
message-order,without-sequence-guard,50,40,false,,50,0
transient-empty,empty-payload-guard,50,40,true,,50,0
transient-empty,without-empty-guard,50,40,false,,0,0
stable-identity,full-protocol,50,41,true,1,50,0.094600000000014
stable-identity,without-stable-id,50,41,false,0,50,0.09359999999998081
state-continuity,replace-all,50,41,false,0,50,0.0013999999999896318
state-continuity,state-preserving-merge,50,41,true,1,50,0.09090000000000487
message-order,sequence-guard,50,41,true,,50,0
message-order,without-sequence-guard,50,41,false,,50,0
transient-empty,empty-payload-guard,50,41,true,,50,0
transient-empty,without-empty-guard,50,41,false,,0,0
stable-identity,full-protocol,50,42,true,1,50,0.0952999999999804
stable-identity,without-stable-id,50,42,false,0,50,0.09270000000000778
state-continuity,replace-all,50,42,false,0,50,0.0014000000000180535
state-continuity,state-preserving-merge,50,42,true,1,50,0.09090000000000487
message-order,sequence-guard,50,42,true,,50,0
message-order,without-sequence-guard,50,42,false,,50,0
transient-empty,empty-payload-guard,50,42,true,,50,0
transient-empty,without-empty-guard,50,42,false,,0,0
stable-identity,full-protocol,50,43,true,1,50,0.09560000000001878
stable-identity,without-stable-id,50,43,false,0,50,0.11040000000002692
state-continuity,replace-all,50,43,false,0,50,0.001599999999996271
state-continuity,state-preserving-merge,50,43,true,1,50,0.10669999999998936
message-order,sequence-guard,50,43,true,,50,0
message-order,without-sequence-guard,50,43,false,,50,0
transient-empty,empty-payload-guard,50,43,true,,50,0
transient-empty,without-empty-guard,50,43,false,,0,0
stable-identity,full-protocol,50,44,true,1,50,0.09379999999998745
stable-identity,without-stable-id,50,44,false,0,50,0.09370000000001255
state-continuity,replace-all,50,44,false,0,50,0.0012000000000114142
