scenario,variant,roster_size,repetition,outcome_success,state_preservation_rate,final_count,elapsed_ms
transient-empty,without-empty-guard,50,34,false,,0,0
stable-identity,full-protocol,50,35,true,1,50,0.11350000000001614
stable-identity,without-stable-id,50,35,false,0,50,0.15869999999998186
state-continuity,replace-all,50,35,false,0,50,0.0028000000000076852
state-continuity,state-preserving-merge,50,35,true,1,50,0.12250000000000227
message-order,sequence-guard,50,35,true,,50,0
message-order,without-sequence-guard,50,35,false,,50,0
transient-empty,empty-payload-guard,50,35,true,,50,0
transient-empty,without-empty-guard,50,35,false,,0,0
stable-identity,full-protocol,50,36,true,1,50,0.1348000000000127
stable-identity,without-stable-id,50,36,false,0,50,0.125
state-continuity,replace-all,50,36,false,0,50,0.0020999999999844476
state-continuity,state-preserving-merge,50,36,true,1,50,0.12110000000001264
message-order,sequence-guard,50,36,true,,50,0
message-order,without-sequence-guard,50,36,false,,50,0
transient-empty,empty-payload-guard,50,36,true,,50,0
transient-empty,without-empty-guard,50,36,false,,0,0
stable-identity,full-protocol,50,37,true,1,50,0.11769999999998504
stable-identity,without-stable-id,50,37,false,0,50,0.11620000000002051
state-continuity,replace-all,50,37,false,0,50,0.0027000000000043656
state-continuity,state-preserving-merge,50,37,true,1,50,0.10900000000000887
message-order,sequence-guard,50,37,true,,50,0
message-order,without-sequence-guard,50,37,false,,50,0
transient-empty,empty-payload-guard,50,37,true,,50,0
transient-empty,without-empty-guard,50,37,false,,0,0
stable-identity,full-protocol,50,38,true,1,50,0.1285000000000025
stable-identity,without-stable-id,50,38,false,0,50,0.1564999999999941
state-continuity,replace-all,50,38,false,0,50,0.0023999999999944066
state-continuity,state-preserving-merge,50,38,true,1,50,0.105700000000013
message-order,sequence-guard,50,38,true,,50,0
message-order,without-sequence-guard,50,38,false,,50,0
transient-empty,empty-payload-guard,50,38,true,,50,0
transient-empty,without-empty-guard,50,38,false,,0,0
stable-identity,full-protocol,50,39,true,1,50,0.10960000000000036
stable-identity,without-stable-id,50,39,false,0,50,0.11289999999999623
state-continuity,replace-all,50,39,false,0,50,0.0014999999999929514
state-continuity,state-preserving-merge,50,39,true,1,50,0.10540000000000305
message-order,sequence-guard,50,39,true,,50,0
message-order,without-sequence-guard,50,39,false,,50,0
transient-empty,empty-payload-guard,50,39,true,,50,0
transient-empty,without-empty-guard,50,39,false,,0,0
stable-identity,full-protocol,50,40,true,1,50,0.10720000000000596
stable-identity,without-stable-id,50,40,false,0,50,0.1109000000000151
state-continuity,replace-all,50,40,false,0,50,0.0014999999999929514
state-continuity,state-preserving-merge,50,40,true,1,50,0.10460000000000491
message-order,sequence-guard,50,40,true,,50,0
message-order,without-sequence-guard,50,40,false,,50,0
transient-empty,empty-payload-guard,50,40,true,,50,0
transient-empty,without-empty-guard,50,40,false,,0,0
stable-identity,full-protocol,50,41,true,1,50,0.18649999999999523
stable-identity,without-stable-id,50,41,false,0,50,0.6267999999999745
state-continuity,replace-all,50,41,false,0,50,0.004099999999993997
state-continuity,state-preserving-merge,50,41,true,1,50,0.19249999999999545
message-order,sequence-guard,50,41,true,,50,0
message-order,without-sequence-guard,50,41,false,,50,0
transient-empty,empty-payload-guard,50,41,true,,50,0
transient-empty,without-empty-guard,50,41,false,,0,0
stable-identity,full-protocol,50,42,true,1,50,0.10380000000000678
stable-identity,without-stable-id,50,42,false,0,50,0.1115000000000066
state-continuity,replace-all,50,42,false,0,50,0.0018000000000029104
state-continuity,state-preserving-merge,50,42,true,1,50,0.09629999999998518
message-order,sequence-guard,50,42,true,,50,0
message-order,without-sequence-guard,50,42,false,,50,0
transient-empty,empty-payload-guard,50,42,true,,50,0
transient-empty,without-empty-guard,50,42,false,,0,0
stable-identity,full-protocol,50,43,true,1,50,0.10079999999999245
stable-identity,without-stable-id,50,43,false,0,50,0.10049999999998249
state-continuity,replace-all,50,43,false,0,50,0.0013000000000147338
state-continuity,state-preserving-merge,50,43,true,1,50,0.09669999999999845
message-order,sequence-guard,50,43,true,,50,0
message-order,without-sequence-guard,50,43,false,,50,0
transient-empty,empty-payload-guard,50,43,true,,50,0
transient-empty,without-empty-guard,50,43,false,,0,0
stable-identity,full-protocol,50,44,true,1,50,0.09860000000000468
stable-identity,without-stable-id,50,44,false,0,50,0.10819999999998231
state-continuity,replace-all,50,44,false,0,50,0.0013000000000147338
state-continuity,state-preserving-merge,50,44,true,1,50,0.09620000000001028
message-order,sequence-guard,50,44,true,,50,0
message-order,without-sequence-guard,50,44,false,,50,0
transient-empty,empty-payload-guard,50,44,true,,50,0
transient-empty,without-empty-guard,50,44,false,,0,0
stable-identity,full-protocol,50,45,true,1,50,0.09860000000000468
stable-identity,without-stable-id,50,45,false,0,50,0.10550000000000637
state-continuity,replace-all,50,45,false,0,50,0.001599999999996271
state-continuity,state-preserving-merge,50,45,true,1,50,0.10200000000000387
message-order,sequence-guard,50,45,true,,50,0
message-order,without-sequence-guard,50,45,false,,50,0
transient-empty,empty-payload-guard,50,45,true,,50,0
transient-empty,without-empty-guard,50,45,false,,0,0
stable-identity,full-protocol,50,46,true,1,50,0.09780000000000655
stable-identity,without-stable-id,50,46,false,0,50,0.0992000000000246
state-continuity,replace-all,50,46,false,0,50,0.001299999999986312
state-continuity,state-preserving-merge,50,46,true,1,50,0.09389999999999077
message-order,sequence-guard,50,46,true,,50,0
message-order,without-sequence-guard,50,46,false,,50,0
transient-empty,empty-payload-guard,50,46,true,,50,0
transient-empty,without-empty-guard,50,46,false,,0,0
stable-identity,full-protocol,50,47,true,1,50,0.0981999999999914
stable-identity,without-stable-id,50,47,false,0,50,0.09950000000000614
state-continuity,replace-all,50,47,false,0,50,0.0018000000000029104
state-continuity,state-preserving-merge,50,47,true,1,50,0.09440000000000737
message-order,sequence-guard,50,47,true,,50,0
message-order,without-sequence-guard,50,47,false,,50,0
transient-empty,empty-payload-guard,50,47,true,,50,0
transient-empty,without-empty-guard,50,47,false,,0,0
stable-identity,full-protocol,50,48,true,1,50,0.10750000000001592
stable-identity,without-stable-id,50,48,false,0,50,0.09850000000000136
state-continuity,replace-all,50,48,false,0,50,0.0016999999999995907
state-continuity,state-preserving-merge,50,48,true,1,50,0.0952999999999804
message-order,sequence-guard,50,48,true,,50,0
message-order,without-sequence-guard,50,48,false,,50,0
transient-empty,empty-payload-guard,50,48,true,,50,0
transient-empty,without-empty-guard,50,48,false,,0,0
stable-identity,full-protocol,50,49,true,1,50,0.09999999999999432
stable-identity,without-stable-id,50,49,false,0,50,0.10370000000000346
state-continuity,replace-all,50,49,false,0,50,0.001599999999996271
state-continuity,state-preserving-merge,50,49,true,1,50,0.4660000000000082
message-order,sequence-guard,50,49,true,,50,0
message-order,without-sequence-guard,50,49,false,,50,0
transient-empty,empty-payload-guard,50,49,true,,50,0
transient-empty,without-empty-guard,50,49,false,,0,0
stable-identity,full-protocol,50,50,true,1,50,0.10509999999999309
stable-identity,without-stable-id,50,50,false,0,50,0.14460000000002537
state-continuity,replace-all,50,50,false,0,50,0.0027000000000043656
state-continuity,state-preserving-merge,50,50,true,1,50,0.11079999999998336
message-order,sequence-guard,50,50,true,,50,0
message-order,without-sequence-guard,50,50,false,,50,0
transient-empty,empty-payload-guard,50,50,true,,50,0
transient-empty,without-empty-guard,50,50,false,,0,0
stable-identity,full-protocol,50,51,true,1,50,0.10139999999998395
stable-identity,without-stable-id,50,51,false,0,50,0.1033000000000186
state-continuity,replace-all,50,51,false,0,50,0.0024999999999977263
state-continuity,state-preserving-merge,50,51,true,1,50,0.10000000000002274
message-order,sequence-guard,50,51,true,,50,0
message-order,without-sequence-guard,50,51,false,,50,0
transient-empty,empty-payload-guard,50,51,true,,50,0
transient-empty,without-empty-guard,50,51,false,,0,0
stable-identity,full-protocol,50,52,true,1,50,0.1092999999999904
stable-identity,without-stable-id,50,52,false,0,50,0.10759999999999081
state-continuity,replace-all,50,52,false,0,50,0.0018000000000029104
state-continuity,state-preserving-merge,50,52,true,1,50,0.11860000000001492
message-order,sequence-guard,50,52,true,,50,0
message-order,without-sequence-guard,50,52,false,,50,0
transient-empty,empty-payload-guard,50,52,true,,50,0
transient-empty,without-empty-guard,50,52,false,,0,0
stable-identity,full-protocol,50,53,true,1,50,0.12250000000000227
stable-identity,without-stable-id,50,53,false,0,50,0.11779999999998836
state-continuity,replace-all,50,53,false,0,50,0.001299999999986312
state-continuity,state-preserving-merge,50,53,true,1,50,0.10560000000000969
message-order,sequence-guard,50,53,true,,50,0
message-order,without-sequence-guard,50,53,false,,50,0
transient-empty,empty-payload-guard,50,53,true,,50,0
transient-empty,without-empty-guard,50,53,false,,0,0
stable-identity,full-protocol,50,54,true,1,50,0.10439999999999827
stable-identity,without-stable-id,50,54,false,0,50,0.10300000000000864
state-continuity,replace-all,50,54,false,0,50,0.001599999999996271
state-continuity,state-preserving-merge,50,54,true,1,50,0.09729999999998995
message-order,sequence-guard,50,54,true,,50,0
message-order,without-sequence-guard,50,54,false,,50,0
transient-empty,empty-payload-guard,50,54,true,,50,0
transient-empty,without-empty-guard,50,54,false,,0,0
stable-identity,full-protocol,50,55,true,1,50,0.102800000000002
stable-identity,without-stable-id,50,55,false,0,50,0.10269999999999868
state-continuity,replace-all,50,55,false,0,50,0.0016000000000246928
state-continuity,state-preserving-merge,50,55,true,1,50,0.1063000000000045
message-order,sequence-guard,50,55,true,,50,0
message-order,without-sequence-guard,50,55,false,,50,0
transient-empty,empty-payload-guard,50,55,true,,50,0
transient-empty,without-empty-guard,50,55,false,,0,0
stable-identity,full-protocol,50,56,true,1,50,0.10809999999997899
stable-identity,without-stable-id,50,56,false,0,50,0.10389999999998167
state-continuity,replace-all,50,56,false,0,50,0.006699999999995043
state-continuity,state-preserving-merge,50,56,true,1,50,0.09680000000000177
message-order,sequence-guard,50,56,true,,50,0
message-order,without-sequence-guard,50,56,false,,50,0
transient-empty,empty-payload-guard,50,56,true,,50,0
transient-empty,without-empty-guard,50,56,false,,0,0
stable-identity,full-protocol,50,57,true,1,50,0.10130000000000905
stable-identity,without-stable-id,50,57,false,0,50,0.10419999999999163
state-continuity,replace-all,50,57,false,0,50,0.0011000000000080945
state-continuity,state-preserving-merge,50,57,true,1,50,0.13009999999999877
message-order,sequence-guard,50,57,true,,50,0
message-order,without-sequence-guard,50,57,false,,50,0
transient-empty,empty-payload-guard,50,57,true,,50,0
transient-empty,without-empty-guard,50,57,false,,0,0
stable-identity,full-protocol,50,58,true,1,50,0.09970000000001278
stable-identity,without-stable-id,50,58,false,0,50,0.3129999999999882
state-continuity,replace-all,50,58,false,0,50,0.0021000000000128694
state-continuity,state-preserving-merge,50,58,true,1,50,0.11540000000002237
message-order,sequence-guard,50,58,true,,50,0
message-order,without-sequence-guard,50,58,false,,50,0
transient-empty,empty-payload-guard,50,58,true,,50,0
transient-empty,without-empty-guard,50,58,false,,0,0
stable-identity,full-protocol,50,59,true,1,50,0.10919999999998709
stable-identity,without-stable-id,50,59,false,0,50,0.14790000000002124
