scenario,variant,roster_size,repetition,outcome_success,state_preservation_rate,final_count,elapsed_ms
state-continuity,state-preserving-merge,50,37,true,1,50,0.09320000000002437
message-order,sequence-guard,50,37,true,,50,0
message-order,without-sequence-guard,50,37,false,,50,0
transient-empty,empty-payload-guard,50,37,true,,50,0
transient-empty,without-empty-guard,50,37,false,,0,0
stable-identity,full-protocol,50,38,true,1,50,0.0963999999999885
stable-identity,without-stable-id,50,38,false,0,50,0.09530000000000882
state-continuity,replace-all,50,38,false,0,50,0.0021000000000128694
state-continuity,state-preserving-merge,50,38,true,1,50,0.09260000000000446
message-order,sequence-guard,50,38,true,,50,0
message-order,without-sequence-guard,50,38,false,,50,0
transient-empty,empty-payload-guard,50,38,true,,50,0
transient-empty,without-empty-guard,50,38,false,,0,0
stable-identity,full-protocol,50,39,true,1,50,0.09790000000000987
stable-identity,without-stable-id,50,39,false,0,50,0.09449999999998226
state-continuity,replace-all,50,39,false,0,50,0.0011999999999829924
state-continuity,state-preserving-merge,50,39,true,1,50,0.09180000000000632
message-order,sequence-guard,50,39,true,,50,0
message-order,without-sequence-guard,50,39,false,,50,0
transient-empty,empty-payload-guard,50,39,true,,50,0
transient-empty,without-empty-guard,50,39,false,,0,0
stable-identity,full-protocol,50,40,true,1,50,0.09509999999997376
stable-identity,without-stable-id,50,40,false,0,50,0.09810000000001651
state-continuity,replace-all,50,40,false,0,50,0.0016999999999995907
state-continuity,state-preserving-merge,50,40,true,1,50,0.23759999999998627
message-order,sequence-guard,50,40,true,,50,0
message-order,without-sequence-guard,50,40,false,,50,0
transient-empty,empty-payload-guard,50,40,true,,50,0
transient-empty,without-empty-guard,50,40,false,,0,0
stable-identity,full-protocol,50,41,true,1,50,0.23849999999998772
stable-identity,without-stable-id,50,41,false,0,50,0.24719999999999231
state-continuity,replace-all,50,41,false,0,50,0.003299999999995862
state-continuity,state-preserving-merge,50,41,true,1,50,0.233600000000024
message-order,sequence-guard,50,41,true,,50,0
message-order,without-sequence-guard,50,41,false,,50,0
transient-empty,empty-payload-guard,50,41,true,,50,0
transient-empty,without-empty-guard,50,41,false,,0,0
stable-identity,full-protocol,50,42,true,1,50,0.11480000000000246
stable-identity,without-stable-id,50,42,false,0,50,0.10450000000000159
state-continuity,replace-all,50,42,false,0,50,0.0015000000000213731
state-continuity,state-preserving-merge,50,42,true,1,50,0.09620000000001028
message-order,sequence-guard,50,42,true,,50,0
message-order,without-sequence-guard,50,42,false,,50,0
transient-empty,empty-payload-guard,50,42,true,,50,0
transient-empty,without-empty-guard,50,42,false,,0,0
stable-identity,full-protocol,50,43,true,1,50,0.09700000000000841
stable-identity,without-stable-id,50,43,false,0,50,0.09680000000000177
state-continuity,replace-all,50,43,false,0,50,0.001299999999986312
state-continuity,state-preserving-merge,50,43,true,1,50,0.09470000000001733
message-order,sequence-guard,50,43,true,,50,0
message-order,without-sequence-guard,50,43,false,,50,0
transient-empty,empty-payload-guard,50,43,true,,50,0
transient-empty,without-empty-guard,50,43,false,,0,0
stable-identity,full-protocol,50,44,true,1,50,0.09770000000000323
stable-identity,without-stable-id,50,44,false,0,50,0.09610000000000696
state-continuity,replace-all,50,44,false,0,50,0.0016999999999995907
state-continuity,state-preserving-merge,50,44,true,1,50,0.09250000000000114
message-order,sequence-guard,50,44,true,,50,0
message-order,without-sequence-guard,50,44,false,,50,0
transient-empty,empty-payload-guard,50,44,true,,50,0
transient-empty,without-empty-guard,50,44,false,,0,0
stable-identity,full-protocol,50,45,true,1,50,0.09379999999998745
stable-identity,without-stable-id,50,45,false,0,50,0.09230000000002292
state-continuity,replace-all,50,45,false,0,50,0.0018000000000029104
state-continuity,state-preserving-merge,50,45,true,1,50,0.08979999999999677
message-order,sequence-guard,50,45,true,,50,0
message-order,without-sequence-guard,50,45,false,,50,0
transient-empty,empty-payload-guard,50,45,true,,50,0
transient-empty,without-empty-guard,50,45,false,,0,0
stable-identity,full-protocol,50,46,true,1,50,0.09540000000001214
stable-identity,without-stable-id,50,46,false,0,50,0.09219999999999118
state-continuity,replace-all,50,46,false,0,50,0.0012000000000114142
state-continuity,state-preserving-merge,50,46,true,1,50,0.08990000000000009
message-order,sequence-guard,50,46,true,,50,0
message-order,without-sequence-guard,50,46,false,,50,0
transient-empty,empty-payload-guard,50,46,true,,50,0
transient-empty,without-empty-guard,50,46,false,,0,0
stable-identity,full-protocol,50,47,true,1,50,0.09349999999997749
stable-identity,without-stable-id,50,47,false,0,50,0.09319999999999595
state-continuity,replace-all,50,47,false,0,50,0.0013999999999896318
state-continuity,state-preserving-merge,50,47,true,1,50,0.10179999999999723
message-order,sequence-guard,50,47,true,,50,0
message-order,without-sequence-guard,50,47,false,,50,0
transient-empty,empty-payload-guard,50,47,true,,50,0
transient-empty,without-empty-guard,50,47,false,,0,0
stable-identity,full-protocol,50,48,true,1,50,0.09549999999998704
stable-identity,without-stable-id,50,48,false,0,50,0.09569999999999368
state-continuity,replace-all,50,48,false,0,50,0.0011999999999829924
state-continuity,state-preserving-merge,50,48,true,1,50,0.10830000000001405
message-order,sequence-guard,50,48,true,,50,0
message-order,without-sequence-guard,50,48,false,,50,0
transient-empty,empty-payload-guard,50,48,true,,50,0
transient-empty,without-empty-guard,50,48,false,,0,0
stable-identity,full-protocol,50,49,true,1,50,0.09770000000000323
stable-identity,without-stable-id,50,49,false,0,50,0.3918999999999926
state-continuity,replace-all,50,49,false,0,50,0.004099999999993997
state-continuity,state-preserving-merge,50,49,true,1,50,0.18679999999997676
message-order,sequence-guard,50,49,true,,50,0
message-order,without-sequence-guard,50,49,false,,50,0
transient-empty,empty-payload-guard,50,49,true,,50,0
transient-empty,without-empty-guard,50,49,false,,0,0
stable-identity,full-protocol,50,50,true,1,50,0.09900000000001796
stable-identity,without-stable-id,50,50,false,0,50,0.09919999999999618
state-continuity,replace-all,50,50,false,0,50,0.0011999999999829924
state-continuity,state-preserving-merge,50,50,true,1,50,0.09409999999999741
message-order,sequence-guard,50,50,true,,50,0
message-order,without-sequence-guard,50,50,false,,50,0
transient-empty,empty-payload-guard,50,50,true,,50,0
transient-empty,without-empty-guard,50,50,false,,0,0
stable-identity,full-protocol,50,51,true,1,50,0.11349999999998772
stable-identity,without-stable-id,50,51,false,0,50,0.09709999999998331
state-continuity,replace-all,50,51,false,0,50,0.005499999999983629
state-continuity,state-preserving-merge,50,51,true,1,50,0.27070000000000505
message-order,sequence-guard,50,51,true,,50,0
message-order,without-sequence-guard,50,51,false,,50,0
transient-empty,empty-payload-guard,50,51,true,,50,0
transient-empty,without-empty-guard,50,51,false,,0,0
stable-identity,full-protocol,50,52,true,1,50,0.20150000000001
stable-identity,without-stable-id,50,52,false,0,50,0.10140000000001237
state-continuity,replace-all,50,52,false,0,50,0.001599999999996271
state-continuity,state-preserving-merge,50,52,true,1,50,0.10269999999999868
message-order,sequence-guard,50,52,true,,50,0
message-order,without-sequence-guard,50,52,false,,50,0
transient-empty,empty-payload-guard,50,52,true,,50,0
transient-empty,without-empty-guard,50,52,false,,0,0
stable-identity,full-protocol,50,53,true,1,50,0.10099999999999909
stable-identity,without-stable-id,50,53,false,0,50,0.10299999999998022
state-continuity,replace-all,50,53,false,0,50,0.0015000000000213731
state-continuity,state-preserving-merge,50,53,true,1,50,0.0922999999999945
message-order,sequence-guard,50,53,true,,50,0
message-order,without-sequence-guard,50,53,false,,50,0
transient-empty,empty-payload-guard,50,53,true,,50,0
transient-empty,without-empty-guard,50,53,false,,0,0
stable-identity,full-protocol,50,54,true,1,50,0.09569999999999368
stable-identity,without-stable-id,50,54,false,0,50,0.10609999999999786
state-continuity,replace-all,50,54,false,0,50,0.0012000000000114142
state-continuity,state-preserving-merge,50,54,true,1,50,0.09159999999999968
message-order,sequence-guard,50,54,true,,50,0
message-order,without-sequence-guard,50,54,false,,50,0
transient-empty,empty-payload-guard,50,54,true,,50,0
transient-empty,without-empty-guard,50,54,false,,0,0
stable-identity,full-protocol,50,55,true,1,50,0.0946999999999889
stable-identity,without-stable-id,50,55,false,0,50,0.09380000000001587
state-continuity,replace-all,50,55,false,0,50,0.0011000000000080945
state-continuity,state-preserving-merge,50,55,true,1,50,0.09080000000000155
message-order,sequence-guard,50,55,true,,50,0
message-order,without-sequence-guard,50,55,false,,50,0
transient-empty,empty-payload-guard,50,55,true,,50,0
transient-empty,without-empty-guard,50,55,false,,0,0
stable-identity,full-protocol,50,56,true,1,50,0.0946999999999889
stable-identity,without-stable-id,50,56,false,0,50,0.09719999999998663
state-continuity,replace-all,50,56,false,0,50,0.0011000000000080945
state-continuity,state-preserving-merge,50,56,true,1,50,0.0905999999999949
message-order,sequence-guard,50,56,true,,50,0
message-order,without-sequence-guard,50,56,false,,50,0
transient-empty,empty-payload-guard,50,56,true,,50,0
transient-empty,without-empty-guard,50,56,false,,0,0
stable-identity,full-protocol,50,57,true,1,50,0.09420000000000073
stable-identity,without-stable-id,50,57,false,0,50,0.10939999999999372
state-continuity,replace-all,50,57,false,0,50,0.0014999999999929514
state-continuity,state-preserving-merge,50,57,true,1,50,0.09069999999999823
message-order,sequence-guard,50,57,true,,50,0
message-order,without-sequence-guard,50,57,false,,50,0
transient-empty,empty-payload-guard,50,57,true,,50,0
transient-empty,without-empty-guard,50,57,false,,0,0
stable-identity,full-protocol,50,58,true,1,50,0.42199999999999704
stable-identity,without-stable-id,50,58,false,0,50,0.2545000000000073
state-continuity,replace-all,50,58,false,0,50,0.0037000000000091404
state-continuity,state-preserving-merge,50,58,true,1,50,0.23340000000001737
message-order,sequence-guard,50,58,true,,50,0
message-order,without-sequence-guard,50,58,false,,50,0
transient-empty,empty-payload-guard,50,58,true,,50,0
transient-empty,without-empty-guard,50,58,false,,0,0
stable-identity,full-protocol,50,59,true,1,50,0.23859999999999104
stable-identity,without-stable-id,50,59,false,0,50,0.10329999999999018
state-continuity,replace-all,50,59,false,0,50,0.0020000000000095497
state-continuity,state-preserving-merge,50,59,true,1,50,0.0893000000000086
message-order,sequence-guard,50,59,true,,50,0
message-order,without-sequence-guard,50,59,false,,50,0
transient-empty,empty-payload-guard,50,59,true,,50,0
transient-empty,without-empty-guard,50,59,false,,0,0
stable-identity,full-protocol,50,60,true,1,50,0.09290000000001442
stable-identity,without-stable-id,50,60,false,0,50,0.09209999999998786
state-continuity,replace-all,50,60,false,0,50,0.0018000000000029104
state-continuity,state-preserving-merge,50,60,true,1,50,0.0981999999999914
message-order,sequence-guard,50,60,true,,50,0
message-order,without-sequence-guard,50,60,false,,50,0
transient-empty,empty-payload-guard,50,60,true,,50,0
transient-empty,without-empty-guard,50,60,false,,0,0
stable-identity,full-protocol,50,61,true,1,50,0.09210000000001628
stable-identity,without-stable-id,50,61,false,0,50,0.12340000000000373
state-continuity,replace-all,50,61,false,0,50,0.0020999999999844476
state-continuity,state-preserving-merge,50,61,true,1,50,0.09539999999998372
message-order,sequence-guard,50,61,true,,50,0
message-order,without-sequence-guard,50,61,false,,50,0
transient-empty,empty-payload-guard,50,61,true,,50,0
transient-empty,without-empty-guard,50,61,false,,0,0
stable-identity,full-protocol,50,62,true,1,50,0.09320000000002437
stable-identity,without-stable-id,50,62,false,0,50,0.0916000000000281
state-continuity,replace-all,50,62,false,0,50,0.0011000000000080945
state-continuity,state-preserving-merge,50,62,true,1,50,0.08859999999998536
