browser,browser_version,roster_size,repetition,phase,status,final_count,unique_stable_ids,duplicate_stable_ids,exact_identity_set,exact_public_fields,public_field_mismatch_count,public_field_mismatch_examples,contract_o0_pass,contract_o1_pass,contract_o1k_pass,contract_o2_pass,contract_failure_codes,contract_check_ms,receiver_trace_phases,receiver_rows_accepted,receiver_preparation_ms,receiver_persistence_ms,protocol_completion_latency_ms,observed_wall_time_ms,error_class,error_message
firefox,151.0,1000,1,measurement,pass,1000,1000,0,true,true,0,[],true,true,true,true,,11.922300000005635,message-received|commit-started|commit-succeeded|completion-success,1000,10,293,304,3219,,
firefox,151.0,1000,2,measurement,pass,1000,1000,0,true,true,0,[],true,true,true,true,,11.425500000012107,message-received|commit-started|commit-succeeded|completion-success,1000,10,284,298,3196,,
firefox,151.0,1000,3,measurement,pass,1000,1000,0,true,true,0,[],true,true,true,true,,13.335900000005495,message-received|commit-started|commit-succeeded|completion-success,1000,10,298,310,3194,,
firefox,151.0,1000,4,measurement,pass,1000,1000,0,true,true,0,[],true,true,true,true,,13.936699999991106,message-received|commit-started|commit-succeeded|completion-success,1000,9,281,295,3248,,
firefox,151.0,1000,5,measurement,pass,1000,1000,0,true,true,0,[],true,true,true,true,,14.554799999983516,message-received|commit-started|commit-succeeded|completion-success,1000,14,283,300,3173,,
firefox,151.0,1000,6,measurement,pass,1000,1000,0,true,true,0,[],true,true,true,true,,11.673399999999674,message-received|commit-started|commit-succeeded|completion-success,1000,11,272,285,3138,,
firefox,151.0,1000,7,measurement,pass,1000,1000,0,true,true,0,[],true,true,true,true,,12.14089999999851,message-received|commit-started|commit-succeeded|completion-success,1000,10,279,292,3139,,
firefox,151.0,1000,8,measurement,pass,1000,1000,0,true,true,0,[],true,true,true,true,,17.95800000001327,message-received|commit-started|commit-succeeded|completion-success,1000,13,362,377,3367,,
firefox,151.0,1000,9,measurement,pass,1000,1000,0,true,true,0,[],true,true,true,true,,12.755999999993946,message-received|commit-started|commit-succeeded|completion-success,1000,11,295,308,3229,,
firefox,151.0,1000,10,measurement,pass,1000,1000,0,true,true,0,[],true,true,true,true,,14.47599999999511,message-received|commit-started|commit-succeeded|completion-success,1000,10,347,360,3330,,
webkit,26.5,50,1,warmup,pass,50,50,0,true,true,0,[],true,true,true,true,,1.1453999999794178,message-received|commit-started|commit-succeeded|completion-success,50,3,1175,1189,8586,,
webkit,26.5,50,1,measurement,pass,50,50,0,true,true,0,[],true,true,true,true,,1.4118000000016764,message-received|commit-started|commit-succeeded|completion-success,50,3,1043,1057,8352,,
webkit,26.5,50,2,measurement,pass,50,50,0,true,true,0,[],true,true,true,true,,0.5645000000076834,message-received|commit-started|commit-succeeded|completion-success,50,2,1067,1083,5018,,
webkit,26.5,50,3,measurement,pass,50,50,0,true,true,0,[],true,true,true,true,,0.7735000000102445,message-received|commit-started|commit-succeeded|completion-success,50,3,1076,1091,7396,,
webkit,26.5,50,4,measurement,pass,50,50,0,true,true,0,[],true,true,true,true,,0.7570999999879859,message-received|commit-started|commit-succeeded|completion-success,50,2,1030,1048,7696,,
webkit,26.5,50,5,measurement,pass,50,50,0,true,true,0,[],true,true,true,true,,0.5589999999792781,message-received|commit-started|commit-succeeded|completion-success,50,2,1014,1031,4894,,
webkit,26.5,50,6,measurement,pass,50,50,0,true,true,0,[],true,true,true,true,,0.9349999999976717,message-received|commit-started|commit-succeeded|completion-success,50,2,1077,1090,7755,,
