browser,browser_version,roster_size,repetition,phase,status,final_count,unique_stable_ids,duplicate_stable_ids,exact_identity_set,exact_public_fields,public_field_mismatch_count,public_field_mismatch_examples,receiver_rows_accepted,receiver_preparation_ms,receiver_persistence_ms,protocol_completion_latency_ms,observed_wall_time_ms,error_class,error_message
firefox,151.0,200,2,measurement,pass,200,200,0,true,true,0,[],200,3,115,121,2695,,
firefox,151.0,200,3,measurement,pass,200,200,0,true,true,0,[],200,4,128,134,2844,,
firefox,151.0,200,4,measurement,pass,200,200,0,true,true,0,[],200,4,110,115,2687,,
firefox,151.0,200,5,measurement,pass,200,200,0,true,true,0,[],200,5,118,124,2706,,
firefox,151.0,200,6,measurement,pass,200,200,0,true,true,0,[],200,4,117,120,2670,,
firefox,151.0,200,7,measurement,pass,200,200,0,true,true,0,[],200,5,109,116,2688,,
firefox,151.0,200,8,measurement,pass,200,200,0,true,true,0,[],200,4,113,118,2725,,
firefox,151.0,200,9,measurement,pass,200,200,0,true,true,0,[],200,6,120,127,2775,,
firefox,151.0,200,10,measurement,pass,200,200,0,true,true,0,[],200,5,112,118,2664,,
firefox,151.0,200,11,measurement,pass,200,200,0,true,true,0,[],200,4,118,123,2662,,
firefox,151.0,200,12,measurement,pass,200,200,0,true,true,0,[],200,5,123,129,2742,,
firefox,151.0,200,13,measurement,pass,200,200,0,true,true,0,[],200,4,109,116,2720,,
firefox,151.0,200,14,measurement,pass,200,200,0,true,true,0,[],200,3,108,113,2643,,
firefox,151.0,200,15,measurement,pass,200,200,0,true,true,0,[],200,3,106,111,2663,,
firefox,151.0,200,16,measurement,pass,200,200,0,true,true,0,[],200,4,107,113,2684,,
firefox,151.0,200,17,measurement,pass,200,200,0,true,true,0,[],200,4,109,113,2679,,
firefox,151.0,200,18,measurement,pass,200,200,0,true,true,0,[],200,4,133,140,2723,,
firefox,151.0,200,19,measurement,pass,200,200,0,true,true,0,[],200,3,117,121,2692,,
firefox,151.0,200,20,measurement,pass,200,200,0,true,true,0,[],200,3,110,114,2659,,
firefox,151.0,200,21,measurement,pass,200,200,0,true,true,0,[],200,3,110,113,2624,,
firefox,151.0,200,22,measurement,pass,200,200,0,true,true,0,[],200,4,107,113,2666,,
firefox,151.0,200,23,measurement,pass,200,200,0,true,true,0,[],200,4,113,119,2655,,
firefox,151.0,200,24,measurement,pass,200,200,0,true,true,0,[],200,3,116,120,2719,,
firefox,151.0,200,25,measurement,pass,200,200,0,true,true,0,[],200,3,110,113,2667,,
firefox,151.0,200,26,measurement,pass,200,200,0,true,true,0,[],200,4,124,130,2707,,
firefox,151.0,200,27,measurement,pass,200,200,0,true,true,0,[],200,2,118,122,2744,,
firefox,151.0,200,28,measurement,pass,200,200,0,true,true,0,[],200,3,101,105,2649,,
firefox,151.0,200,29,measurement,pass,200,200,0,true,true,0,[],200,4,114,119,2655,,
firefox,151.0,200,30,measurement,pass,200,200,0,true,true,0,[],200,2,112,116,2664,,
firefox,151.0,500,1,warmup,pass,500,500,0,true,true,0,[],500,6,166,174,2822,,
firefox,151.0,500,1,measurement,pass,500,500,0,true,true,0,[],500,8,171,181,2879,,
firefox,151.0,500,2,measurement,pass,500,500,0,true,true,0,[],500,7,203,212,2884,,
firefox,151.0,500,3,measurement,pass,500,500,0,true,true,0,[],500,7,165,175,2876,,
firefox,151.0,500,4,measurement,pass,500,500,0,true,true,0,[],500,9,171,181,2873,,
firefox,151.0,500,5,measurement,pass,500,500,0,true,true,0,[],500,10,184,195,2916,,
firefox,151.0,500,6,measurement,pass,500,500,0,true,true,0,[],500,7,171,180,2963,,
firefox,151.0,500,7,measurement,pass,500,500,0,true,true,0,[],500,6,149,158,2847,,
firefox,151.0,500,8,measurement,pass,500,500,0,true,true,0,[],500,7,199,207,2925,,
firefox,151.0,500,9,measurement,pass,500,500,0,true,true,0,[],500,8,189,198,3048,,
firefox,151.0,500,10,measurement,pass,500,500,0,true,true,0,[],500,8,167,177,2886,,
firefox,151.0,500,11,measurement,pass,500,500,0,true,true,0,[],500,6,176,184,2799,,
firefox,151.0,500,12,measurement,pass,500,500,0,true,true,0,[],500,6,169,178,2839,,
firefox,151.0,500,13,measurement,pass,500,500,0,true,true,0,[],500,6,174,181,2890,,
firefox,151.0,500,14,measurement,pass,500,500,0,true,true,0,[],500,7,163,170,2801,,
firefox,151.0,500,15,measurement,pass,500,500,0,true,true,0,[],500,9,149,161,2826,,
firefox,151.0,500,16,measurement,pass,500,500,0,true,true,0,[],500,6,166,174,2879,,
firefox,151.0,500,17,measurement,pass,500,500,0,true,true,0,[],500,8,187,196,2971,,
firefox,151.0,500,18,measurement,pass,500,500,0,true,true,0,[],500,11,213,226,2935,,
firefox,151.0,500,19,measurement,pass,500,500,0,true,true,0,[],500,7,196,205,3037,,
firefox,151.0,500,20,measurement,pass,500,500,0,true,true,0,[],500,11,205,218,3193,,
firefox,151.0,500,21,measurement,pass,500,500,0,true,true,0,[],500,10,198,210,2995,,
firefox,151.0,500,22,measurement,pass,500,500,0,true,true,0,[],500,7,182,190,2901,,
firefox,151.0,500,23,measurement,pass,500,500,0,true,true,0,[],500,7,185,194,2968,,
firefox,151.0,500,24,measurement,pass,500,500,0,true,true,0,[],500,7,165,174,2879,,
firefox,151.0,500,25,measurement,pass,500,500,0,true,true,0,[],500,9,195,206,2906,,
firefox,151.0,500,26,measurement,pass,500,500,0,true,true,0,[],500,8,199,209,2996,,
firefox,151.0,500,27,measurement,pass,500,500,0,true,true,0,[],500,9,234,246,2981,,
firefox,151.0,500,28,measurement,pass,500,500,0,true,true,0,[],500,11,167,180,2896,,
firefox,151.0,500,29,measurement,pass,500,500,0,true,true,0,[],500,11,225,238,3151,,
firefox,151.0,500,30,measurement,pass,500,500,0,true,true,0,[],500,9,190,201,3020,,
firefox,151.0,1000,1,warmup,pass,1000,1000,0,true,true,0,[],1000,10,266,282,3161,,
firefox,151.0,1000,1,measurement,pass,1000,1000,0,true,true,0,[],1000,11,301,318,3233,,
firefox,151.0,1000,2,measurement,pass,1000,1000,0,true,true,0,[],1000,16,257,277,3228,,
firefox,151.0,1000,3,measurement,pass,1000,1000,0,true,true,0,[],1000,11,270,283,3208,,
firefox,151.0,1000,4,measurement,pass,1000,1000,0,true,true,0,[],1000,12,227,242,3129,,
firefox,151.0,1000,5,measurement,pass,1000,1000,0,true,true,0,[],1000,14,209,227,3080,,
firefox,151.0,1000,6,measurement,pass,1000,1000,0,true,true,0,[],1000,18,388,411,3404,,
firefox,151.0,1000,7,measurement,pass,1000,1000,0,true,true,0,[],1000,10,285,301,3161,,
firefox,151.0,1000,8,measurement,pass,1000,1000,0,true,true,0,[],1000,10,262,276,3118,,
firefox,151.0,1000,9,measurement,pass,1000,1000,0,true,true,0,[],1000,13,274,289,3097,,
firefox,151.0,1000,10,measurement,pass,1000,1000,0,true,true,0,[],1000,15,247,266,3101,,
firefox,151.0,1000,11,measurement,pass,1000,1000,0,true,true,0,[],1000,10,258,272,3141,,
firefox,151.0,1000,12,measurement,pass,1000,1000,0,true,true,0,[],1000,10,264,278,3119,,
firefox,151.0,1000,13,measurement,pass,1000,1000,0,true,true,0,[],1000,15,241,259,3134,,
firefox,151.0,1000,14,measurement,pass,1000,1000,0,true,true,0,[],1000,13,292,307,3180,,
firefox,151.0,1000,15,measurement,pass,1000,1000,0,true,true,0,[],1000,10,243,259,3077,,
firefox,151.0,1000,16,measurement,pass,1000,1000,0,true,true,0,[],1000,11,221,236,3096,,
firefox,151.0,1000,17,measurement,pass,1000,1000,0,true,true,0,[],1000,10,280,296,3200,,
firefox,151.0,1000,18,measurement,pass,1000,1000,0,true,true,0,[],1000,18,282,303,3130,,
firefox,151.0,1000,19,measurement,pass,1000,1000,0,true,true,0,[],1000,11,283,297,3128,,
firefox,151.0,1000,20,measurement,pass,1000,1000,0,true,true,0,[],1000,12,282,297,3189,,
firefox,151.0,1000,21,measurement,pass,1000,1000,0,true,true,0,[],1000,12,311,324,3140,,
firefox,151.0,1000,22,measurement,pass,1000,1000,0,true,true,0,[],1000,11,241,258,3064,,
firefox,151.0,1000,23,measurement,pass,1000,1000,0,true,true,0,[],1000,11,282,296,3140,,
firefox,151.0,1000,24,measurement,pass,1000,1000,0,true,true,0,[],1000,13,275,290,3135,,
firefox,151.0,1000,25,measurement,pass,1000,1000,0,true,true,0,[],1000,12,259,274,3157,,
firefox,151.0,1000,26,measurement,pass,1000,1000,0,true,true,0,[],1000,15,300,318,3188,,
firefox,151.0,1000,27,measurement,pass,1000,1000,0,true,true,0,[],1000,18,276,297,3224,,
firefox,151.0,1000,28,measurement,pass,1000,1000,0,true,true,0,[],1000,10,293,308,3285,,
firefox,151.0,1000,29,measurement,pass,1000,1000,0,true,true,0,[],1000,9,258,273,3097,,
firefox,151.0,1000,30,measurement,pass,1000,1000,0,true,true,0,[],1000,14,284,302,3091,,
